,Cluster,Companies
1095,6,9772
1096,6,36483
1097,6,36484
1098,6,9784
1099,6,11576
1100,6,11573
1101,6,9785
1102,6,9796
1103,6,36523
1104,6,11606
1105,6,9703
1106,6,11654
1107,6,36417
1108,6,36249
1109,6,36252
1110,6,36337
1111,6,36338
1112,6,11779
1113,6,11777
1114,6,11775
1115,6,36339
1116,6,36367
1117,6,9700
1118,6,36407
1119,6,11757
1120,6,11709
1121,6,9701
1122,6,36408
1123,6,11708
1124,6,115868
1125,6,36556
1126,6,11255
1127,6,36566
1128,6,11551
1129,6,11393
1130,6,36670
1131,6,36671
1132,6,11377
1133,6,36675
1134,6,11342
1135,6,36676
1136,6,36669
1137,6,36677
1138,6,9867
1139,6,11316
1140,6,11315
1141,6,36681
1142,6,36682
1143,6,73646
1144,6,11302
1145,6,78382
1146,6,11399
1147,6,9864
1148,6,39617
1149,6,11550
1150,6,9852
1151,6,9856
1152,6,36654
1153,6,36655
1154,6,106031
1155,6,36657
1156,6,11516
1157,6,9857
1158,6,11491
1159,6,9863
1160,6,11478
1161,6,11472
1162,6,11443
1163,6,36658
1164,6,36660
1165,6,105741
1166,6,36592
1167,6,11072
1168,6,10810
1169,6,11044
1170,6,9997
1171,6,10400
1172,6,61427
1173,6,10399
1174,6,10397
1175,6,48499
1176,6,10395
1177,6,48934
1178,6,10377
1179,6,61411
1180,6,48940
1181,6,49336
1182,6,49338
1183,6,10375
1184,6,61399
1185,6,48147
1186,6,10461
1187,6,10476
1188,6,10483
1189,6,47531
1190,6,47532
1191,6,47533
1192,6,10523
1193,6,10522
1194,6,48130
1195,6,10496
1196,6,49340
1197,6,48131
1198,6,48132
1199,6,61436
1200,6,61431
1201,6,48134
1202,6,61430
1203,6,48140
1204,6,48146
1205,6,10493
1206,6,47131
1207,6,10349
1208,6,49870
1209,6,50939
1210,6,50943
1211,6,51249
1212,6,10093
1213,6,51260
1214,6,10018
1215,6,51697
1216,6,51696
1217,6,51262
1218,6,10073
1219,6,51263
1220,6,10072
1221,6,10069
1222,6,51264
1223,6,51679
1224,6,51701
1225,6,51710
1226,6,50937
